Book Id,Title,Author,ISBN,Average Rating,Number of Pages,Original Publication Year
847168,A View from the Bridge: A Play in Two Acts,Arthur  Miller,0140481354,3.7,96,1955
157076,The Most Dangerous Game,Richard Connell,1599869691,3.94,48,1924
4588,Extremely Loud & Incredibly Close,Jonathan Safran Foer,0618711651,3.97,326,2005
37526,Henry V,William Shakespeare,0743484878,3.86,294,1600
378,The Phantom Tollbooth,Norton Juster,0394820371,4.18,248,1961
14891,A Tree Grows in Brooklyn,Betty  Smith,0061120073,4.28,496,1943
357664,Because of Winn-Dixie,Kate DiCamillo,0763616052,4.07,182,2000
53835,The Age of Innocence,Edith Wharton,159308143X,3.96,293,1920
5344,Hard Times,Charles Dickens,0321107217,3.53,353,1854
11334,Song of Solomon,Toni Morrison,140003342X,4.11,337,1977
39988,Matilda,Roald Dahl,0141301066,4.33,240,1988
41561009,Kabale und Liebe,Friedrich Schiller,3150000335,3.19,141,1784
19380,Candide,Voltaire,0486266893,3.77,129,1759
18553,"The Cay (The Cay, #1)",Theodore Taylor,044022912X,3.78,156,1969
16299,And Then There Were None,Agatha Christie,0312330871,4.27,264,1939
3228917,Outliers: The Story of Success,Malcolm Gladwell,0316017922,4.18,309,2008
310146,The True Confessions of Charlotte Doyle,Avi,0380714752,3.84,278,1990
54479,Around the World in Eighty Days,Jules Verne,014044906X,3.94,252,1872
25622780,Wide Sargasso Sea,Jean Rhys,0393352560,3.59,176,1966
6327,The Witches,Roald Dahl,0590032496,4.16,208,1983
43035,White Fang,Jack London,0439236193,4,252,1906
37435,The Secret Life of Bees,Sue Monk Kidd,0142001740,4.07,302,2001
571938,Woyzeck,Georg Büchner,3150180074,3.26,210,1836
248596,"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,0380729407,3.92,293,1962
252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,0007205236,4.13,452,1996
51606,Johnny Got His Gun,Dalton Trumbo,0806512814,4.18,309,1939
3685,Black Beauty,Anna Sewell,0439228905,3.97,245,1877
89723,The Lottery and Other Stories,Shirley Jackson,0374529531,4.05,302,1949
123845,Self-Reliance and Other Essays,Ralph Waldo Emerson,0486277909,4.13,117,1844
4214,Life of Pi,Yann Martel,0770430074,3.92,460,2001
92303,The Importance of Being Earnest,Oscar Wilde,158049580X,4.18,76,1895
