book_id,tag_id,count
1,30574,167697
1,11305,37174
1,11557,34173
1,8717,12986
1,33114,12716
1,11743,9954
1,14017,7169
1,5207,6221
1,22743,4974
1,32989,4364
1,27199,3857
1,11590,3456
1,18886,3374
1,6953,2408
1,22753,1881
1,24960,1821
1,1691,1742
1,6857,1560
1,15965,1309
1,6888,1095
1,26785,1093
1,6828,1027
1,2104,1022
1,9221,987
1,20774,984
1,7457,958
1,25765,858
1,15169,853
1,3389,836
1,1128,828
1,6895,798
1,11505,792
1,17124,748
1,22034,744
1,11370,738
1,11497,730
1,19974,718
1,3392,701
1,22973,673
1,25234,659
1,20849,653
1,33009,612
1,29452,600
1,32623,552
1,10644,552
1,31617,547
1,5751,534
1,16427,532
1,5090,522
1,25152,505
2,30574,24549
2,8717,3516
2,11305,3441
2,11557,3423
2,6857,1591
2,6888,1098
2,2104,981
2,9221,975
2,11743,972
2,33114,865
2,3389,851
2,5207,812
2,22034,764
2,17124,756
2,22743,744
2,11370,739
2,14017,734
2,11497,706
2,22973,688
2,20849,621
2,33009,617
2,29452,613
2,32623,566
2,31617,562
2,5751,525
2,16427,519
3,30574,496107
3,11557,48220
3,11305,47478
3,8717,44640
3,33114,14984
3,11743,13239
3,14017,8559
3,5207,7917
3,22743,6066
3,22743,6065
3,32989,5276
3,27199,5140
3,11590,4769
3,18886,4302
3,6953,3828
3,24960,3163
3,6857,2571
3,1691,2430
3,22753,2350
3,7457,1898
3,6888,1771
3,6828,1639
3,25765,1563
3,19974,1558
3,15965,1475
3,2104,1453
3,26785,1380
3,6895,1284
3,17124,1245
3,20774,1227
3,3389,1143
3,11505,1095
3,9221,1082
3,22034,1082
3,1128,1049
3,3392,1032
3,15169,1025
3,25152,1011
3,11497,1006
3,22973,923
3,25234,906
3,11370,905
3,24964,820
3,20849,791
3,25151,786
3,5090,761
3,10644,743
3,33009,739
3,32623,725
3,6960,701
3,5751,693
3,29452,667
3,31617,664
3,20939,657
3,3371,627
3,11550,611
3,29011,608
3,20824,598
3,18045,594
3,25150,591
3,21989,576
3,16427,574
3,25153,571
3,33012,556
3,11491,556
3,22689,554
3,14024,541
3,16799,533
3,17213,528
3,6838,514
3,32654,505
3,25770,504
5,11557,40087
5,11305,39330
5,8717,17944
5,33114,12856
5,30574,11909
5,11743,10656
5,14017,7607
5,5207,6640
5,22743,5164
5,32989,4298
5,11590,4267
5,27199,4199
5,18886,3618
5,6953,2960
5,24960,2311
5,1691,1982
5,22753,1972
5,6857,1966
5,15965,1363
5,6888,1338
5,6828,1311
5,2104,1177
5,26785,1143
5,19974,1099
5,7457,1090
5,25765,1085
5,20774,1020
5,9221,988
5,3389,966
5,6895,961
5,11505,936
5,1128,932
5,17124,885
5,15169,848
5,22034,845
5,11497,831
5,3392,818
5,25234,789
5,11370,765
5,22973,720
5,25152,657
5,20849,652
5,33009,638
5,24964,620
5,10644,591
5,32623,589
5,31617,584
5,5751,575
5,5090,573
5,29452,566
5,16427,563
5,6960,554
5,25151,549
5,20939,526
5,29011,520
6,11305,38378
6,33114,12979
6,11743,10249
6,14017,7472
6,22743,4977
6,32989,4383
6,27199,4007
6,11590,3597
6,6953,2656
6,24960,2065
6,22753,1904
6,1691,1892
6,6857,1716
6,15965,1343
6,6888,1227
6,26785,1130
6,2104,1090
6,7457,1032
6,20774,1010
6,25765,987
6,9221,984
6,3389,910
6,6895,879
6,1128,869
6,19974,868
6,15169,849
6,17124,837
6,11505,827
6,22034,826
6,3392,785
6,11370,749
6,25234,746
6,11497,727
6,22973,702
6,33009,645
6,20849,637
6,25152,616
6,9882,602
6,29452,581
6,24964,569
6,31617,568
6,32623,565
6,10644,557
6,5751,557
6,16427,555
6,5090,523
8,30574,2823
10,30574,3226
11,30574,32303
11,8717,11955
11,26837,10977
11,11557,10173
11,26771,9773
11,11743,7012
11,15048,4397
11,11305,3428
11,7457,2829
11,26894,1813
11,22743,1555
11,7725,1439
11,15067,1439
11,5207,1201
11,26785,1193
11,27199,983
11,11590,951
11,12680,833
11,1691,656
11,3389,635
11,27398,630
11,7404,598
11,11370,521
11,22034,516
13,30574,75870
13,8717,8571
13,11557,3245
13,26837,2614
13,26771,2478
13,11743,1979
13,15048,1225
13,11305,933
13,22743,839
13,7457,551
13,26894,503
21,30574,33603
21,8717,12685
21,14552,3160
21,21773,1845
21,11557,1614
21,21689,1121
21,26816,1040
21,22743,573
24,31155,2312
24,21689,1971
24,8717,1558
24,30574,1009
24,21773,702
24,15048,572
25,30574,816
25,15048,603
25,21773,540
26,30574,27858
26,31155,1536
26,21689,1104
26,8717,709
27,30574,31357
27,31155,1827
27,21689,1120
27,8717,838
28,30574,35420
28,31155,2191
28,21689,2006
28,8717,1916
28,21773,653
28,15048,509
29,30574,5492
29,8717,867
30,30574,692
33,30574,116442
33,11305,13690
33,8717,11180
33,11557,8090
33,7457,3904
33,11743,3758
33,22743,1349
33,5207,1015
33,11590,811
33,7404,791
33,30909,609
33,1691,597
33,26785,566
34,11305,31618
34,30574,15494
34,7457,7966
34,11743,7187
34,5207,2770
34,7404,1686
34,1691,1555
34,8717,1457
34,27199,1364
34,26785,1223
34,30909,1189
34,11590,1116
34,10731,1020
34,14361,974
34,22753,945
34,11557,943
34,33114,654
34,18886,638
34,9221,618
34,22743,617
34,22034,581
34,18367,553
34,24960,511
34,15979,502
36,30574,3492
50,8717,2212
50,33114,2121
50,11743,1587
50,1691,934
50,11557,890
50,30574,790
50,7457,735
50,32989,691
50,29045,642
50,6953,610
50,25438,524
67,30574,8621
67,8717,824
67,14487,682
93,30574,27829
93,7457,2886
93,6953,911
93,11743,858
93,8717,819
93,6857,754
93,11557,676
93,7404,573
93,6888,508
98,30574,1217
98,8717,606
105,26837,1356
105,26771,1029
106,11743,1080
106,11305,620
106,26837,607
106,26894,573
112,26837,2762
112,26771,2136
112,11743,887
117,30574,12731
117,26837,1535
117,26771,1151
117,11743,501
119,30574,2949
122,30574,29584
122,8717,1345
122,11743,1102
122,11557,843
231,30574,5250
231,11743,536
250,30574,1592
264,7457,2632
264,11743,1053
275,30574,17593
275,11743,656
275,8717,503
295,30574,108955
295,8717,16226
295,7457,8727
295,11743,3299
295,1691,1887
295,7404,1655
295,11557,1164
295,22743,929
295,5207,847
295,33114,769
295,14487,724
295,6953,632
295,17213,597
295,18367,512
304,7457,830
304,8717,571
320,7457,5578
320,30574,4805
320,22743,1207
320,18367,1174
320,7404,920
320,22034,897
320,5207,893
320,11590,581
320,17639,519
320,21989,510
343,30574,107894
343,8717,4119
343,11557,3262
343,11743,2637
343,14487,1473
343,7457,1307
343,14821,888
343,22743,609
343,20939,554
343,8517,516
343,5207,512
348,30574,937
348,26837,764
350,26837,4665
350,30574,4020
350,26771,3641
350,8717,3012
350,11743,2069
350,11557,1291
350,7457,914
350,26894,846
353,30574,8265
353,26837,931
353,26771,544
355,30574,2841
357,30574,8024
357,11743,1074
357,11305,1018
357,26837,924
357,26771,762
359,30574,2651
359,26837,505
360,30574,25198
360,26837,2434
360,26771,2060
360,11743,1318
360,15048,1162
360,8717,621
360,11305,519
365,30574,3562
365,8717,868
378,30574,55030
378,11557,3461
378,11305,2880
378,8717,1929
378,11743,1777
378,6953,1441
378,7457,1334
378,33114,999
378,6857,835
378,6888,747
378,6895,542
378,17124,541
378,6828,512
386,30574,565
400,30574,5798
415,30574,24664
431,30574,3213
431,11743,1071
431,11557,557
432,30574,5159
446,30574,6029
449,30574,3880
475,30574,52981
475,8717,2645
475,21689,575
475,14552,560
597,30574,14205
599,30574,12293
599,8717,1358
599,21689,1229
599,21773,544
629,30574,15855
629,8717,10483
629,23471,2932
629,11743,1374
629,21689,1196
629,11557,1020
647,30574,1602
647,21689,973
656,30574,271642
656,8717,24598
656,7457,7569
656,11743,3173
656,11557,1783
656,14487,1366
656,7404,1214
656,26374,993
656,18367,811
656,22743,775
656,26384,767
656,26371,656
656,5207,603
662,30574,12653
662,11743,4365
662,7457,3165
662,11557,2290
662,23471,1698
662,22743,626
662,7404,570
662,18367,522
665,30574,9753
665,23471,537
665,8717,514
667,30574,7047
667,11743,1934
667,11557,922
667,23471,723
667,10059,679
667,10064,675
667,26837,517
668,30574,529
676,30574,9349
676,23831,1355
698,30574,4108
703,30574,7445
703,8717,633
706,30574,36492
706,15048,1583
706,21689,874
706,23931,559
760,30574,19313
760,11743,812
760,8717,773
771,26816,2944
771,30574,2147
771,23569,741
816,30574,48722
816,8717,4016
816,11743,1892
816,26837,1536
816,26771,1184
816,11557,920
816,14487,655
822,30574,2695
823,30574,18802
823,8717,1961
823,11743,856
823,14487,806
825,30574,4142
827,30574,5580
827,26837,1963
827,26771,1470
827,8717,1230
827,11743,1015
827,11557,682
827,8755,559
830,30574,4409
830,8717,3929
830,26837,3911
830,26771,3277
830,11743,2190
830,11557,1581
830,8755,1424
830,26894,908
840,30574,16424
840,8717,2403
840,9318,615
865,30574,596234
865,8717,26269
865,11743,9712
865,11557,8698
865,7457,3089
865,11305,2297
865,23471,1979
865,22743,1597
865,5207,1360
865,4949,1232
865,22034,1194
865,28384,961
865,23150,889
865,15626,840
865,18367,814
865,21989,744
865,28341,732
865,1691,670
865,7404,576
865,11590,570
865,22753,567
865,8055,520
870,30574,2960
870,11557,697
880,30574,5809
880,14487,1215
880,11743,532
890,7457,19214
890,30574,12443
890,11743,9439
890,11557,5732
890,7404,3446
890,26735,2042
890,18367,1688
890,14487,1433
890,5207,1205
890,22743,1113
890,25114,930
890,22034,790
890,2277,679
890,2313,677
890,7563,657
890,14370,644
890,12315,624
890,26740,607
890,11590,543
890,7423,512
900,30574,7612
900,8717,751
902,30574,53759
902,20939,2666
902,11557,1974
902,8717,1545
902,33114,1416
902,11743,1173
902,32989,645
902,6953,595
903,30574,8440
930,30574,436097
930,11557,8385
930,11743,8127
930,14487,7195
930,8717,6341
