{20} -> {17} (conf: 0.921, supp: 0.275, lift: 2.972, conv: 8.698)
{23} -> {18} (conf: 0.918, supp: 0.269, lift: 3.093, conv: 8.555)
{18} -> {23} (conf: 0.906, supp: 0.269, lift: 3.093, conv: 7.548)
{24} -> {18} (conf: 0.925, supp: 0.269, lift: 3.117, conv: 9.378)
{18} -> {24} (conf: 0.906, supp: 0.269, lift: 3.117, conv: 7.519)
{27} -> {18} (conf: 0.905, supp: 0.255, lift: 3.050, conv: 7.411)
{27} -> {21} (conf: 0.911, supp: 0.257, lift: 3.191, conv: 8.064)
{21} -> {27} (conf: 0.901, supp: 0.257, lift: 3.191, conv: 7.238)
{27} -> {24} (conf: 0.916, supp: 0.258, lift: 3.151, conv: 8.411)
{27} -> {25} (conf: 0.909, supp: 0.257, lift: 3.174, conv: 7.860)
{52} -> {49} (conf: 0.923, supp: 0.166, lift: 5.075, conv: 10.580)
{49} -> {52} (conf: 0.914, supp: 0.166, lift: 5.075, conv: 9.525)
{56} -> {52} (conf: 0.914, supp: 0.161, lift: 5.075, conv: 9.525)
{2, 17} -> {1} (conf: 0.943, supp: 0.146, lift: 2.210, conv: 10.113)
{2, 20} -> {1} (conf: 0.935, supp: 0.139, lift: 2.190, conv: 8.779)
{3, 17} -> {1} (conf: 0.945, supp: 0.128, lift: 2.213, conv: 10.346)
{3, 20} -> {1} (conf: 0.938, supp: 0.121, lift: 2.198, conv: 9.306)
{4, 17} -> {1} (conf: 0.907, supp: 0.107, lift: 2.124, conv: 6.146)
{1, 20} -> {17} (conf: 0.953, supp: 0.233, lift: 3.077, conv: 14.768)
{1, 23} -> {18} (conf: 0.931, supp: 0.144, lift: 3.137, conv: 10.191)
{1, 18} -> {23} (conf: 0.912, supp: 0.144, lift: 3.114, conv: 8.079)
{1, 24} -> {18} (conf: 0.933, supp: 0.145, lift: 3.144, conv: 10.494)
{1, 18} -> {24} (conf: 0.917, supp: 0.145, lift: 3.156, conv: 8.547)
{1, 27} -> {18} (conf: 0.915, supp: 0.140, lift: 3.082, conv: 8.243)
{1, 24} -> {21} (conf: 0.903, supp: 0.141, lift: 3.163, conv: 7.386)
{1, 27} -> {21} (conf: 0.923, supp: 0.141, lift: 3.230, conv: 9.220)
{1, 24} -> {23} (conf: 0.900, supp: 0.140, lift: 3.072, conv: 7.097)
{1, 23} -> {24} (conf: 0.903, supp: 0.140, lift: 3.107, conv: 7.305)
{1, 27} -> {24} (conf: 0.921, supp: 0.141, lift: 3.170, conv: 8.999)
{1, 24} -> {27} (conf: 0.907, supp: 0.141, lift: 3.212, conv: 7.698)
{1, 27} -> {25} (conf: 0.923, supp: 0.141, lift: 3.221, conv: 9.238)
{1, 25} -> {27} (conf: 0.905, supp: 0.141, lift: 3.205, conv: 7.534)
{1, 52} -> {49} (conf: 0.927, supp: 0.101, lift: 5.099, conv: 11.201)
{1, 49} -> {52} (conf: 0.930, supp: 0.101, lift: 5.163, conv: 11.658)
{3, 18} -> {2} (conf: 0.910, supp: 0.118, lift: 2.226, conv: 6.590)
{3, 23} -> {2} (conf: 0.913, supp: 0.115, lift: 2.233, conv: 6.804)
{3, 24} -> {2} (conf: 0.909, supp: 0.115, lift: 2.222, conv: 6.472)
{3, 27} -> {2} (conf: 0.901, supp: 0.113, lift: 2.202, conv: 5.954)
{2, 20} -> {17} (conf: 0.937, supp: 0.139, lift: 3.024, conv: 10.888)
{2, 21} -> {18} (conf: 0.930, supp: 0.209, lift: 3.135, conv: 10.092)
{2, 23} -> {18} (conf: 0.946, supp: 0.221, lift: 3.187, conv: 12.963)
{2, 18} -> {23} (conf: 0.930, supp: 0.221, lift: 3.173, conv: 10.078)
{2, 24} -> {18} (conf: 0.952, supp: 0.219, lift: 3.207, conv: 14.598)
{2, 18} -> {24} (conf: 0.924, supp: 0.219, lift: 3.182, conv: 9.395)
{2, 25} -> {18} (conf: 0.926, supp: 0.205, lift: 3.119, conv: 9.461)
{2, 27} -> {18} (conf: 0.945, supp: 0.208, lift: 3.183, conv: 12.715)
{2, 21} -> {23} (conf: 0.914, supp: 0.205, lift: 3.119, conv: 8.240)
{2, 24} -> {21} (conf: 0.907, supp: 0.209, lift: 3.177, conv: 7.721)
{2, 21} -> {24} (conf: 0.932, supp: 0.209, lift: 3.208, conv: 10.470)
{2, 25} -> {21} (conf: 0.911, supp: 0.202, lift: 3.190, conv: 8.023)
{2, 27} -> {21} (conf: 0.938, supp: 0.207, lift: 3.283, conv: 11.459)
{2, 21} -> {27} (conf: 0.922, supp: 0.207, lift: 3.268, conv: 9.258)
{2, 24} -> {23} (conf: 0.922, supp: 0.212, lift: 3.146, conv: 9.065)
{2, 23} -> {24} (conf: 0.911, supp: 0.212, lift: 3.135, conv: 7.957)
{2, 27} -> {23} (conf: 0.920, supp: 0.203, lift: 3.140, conv: 8.866)
{2, 25} -> {24} (conf: 0.924, supp: 0.204, lift: 3.179, conv: 9.312)
{2, 27} -> {24} (conf: 0.948, supp: 0.209, lift: 3.261, conv: 13.533)
{2, 24} -> {27} (conf: 0.907, supp: 0.209, lift: 3.215, conv: 7.757)
{2, 27} -> {25} (conf: 0.932, supp: 0.206, lift: 3.253, conv: 10.450)
{2, 25} -> {27} (conf: 0.929, supp: 0.206, lift: 3.290, conv: 10.080)
{3, 20} -> {17} (conf: 0.938, supp: 0.121, lift: 3.028, conv: 11.129)
{3, 21} -> {18} (conf: 0.902, supp: 0.116, lift: 3.039, conv: 7.163)
{3, 23} -> {18} (conf: 0.940, supp: 0.118, lift: 3.167, conv: 11.720)
{3, 18} -> {23} (conf: 0.912, supp: 0.118, lift: 3.114, conv: 8.078)
{3, 24} -> {18} (conf: 0.941, supp: 0.120, lift: 3.170, conv: 11.847)
{3, 18} -> {24} (conf: 0.925, supp: 0.120, lift: 3.184, conv: 9.489)
{3, 27} -> {18} (conf: 0.921, supp: 0.116, lift: 3.104, conv: 8.916)
{3, 24} -> {21} (conf: 0.911, supp: 0.116, lift: 3.189, conv: 8.017)
{3, 21} -> {24} (conf: 0.903, supp: 0.116, lift: 3.109, conv: 7.347)
{3, 27} -> {21} (conf: 0.926, supp: 0.117, lift: 3.244, conv: 9.718)
{3, 21} -> {27} (conf: 0.910, supp: 0.117, lift: 3.222, conv: 7.937)
{3, 24} -> {23} (conf: 0.903, supp: 0.115, lift: 3.081, conv: 7.283)
{3, 23} -> {24} (conf: 0.915, supp: 0.115, lift: 3.149, conv: 8.339)
{3, 24} -> {25} (conf: 0.904, supp: 0.115, lift: 3.154, conv: 7.396)
{3, 27} -> {24} (conf: 0.926, supp: 0.117, lift: 3.189, conv: 9.651)
{3, 24} -> {27} (conf: 0.917, supp: 0.117, lift: 3.249, conv: 8.655)
{3, 27} -> {25} (conf: 0.929, supp: 0.117, lift: 3.242, conv: 10.010)
{3, 25} -> {27} (conf: 0.909, supp: 0.117, lift: 3.221, conv: 7.896)
{3, 52} -> {49} (conf: 0.942, supp: 0.136, lift: 5.182, conv: 14.096)
{3, 49} -> {52} (conf: 0.929, supp: 0.136, lift: 5.157, conv: 11.483)
{3, 56} -> {49} (conf: 0.933, supp: 0.129, lift: 5.135, conv: 12.297)
{3, 56} -> {52} (conf: 0.950, supp: 0.131, lift: 5.275, conv: 16.319)
{3, 52} -> {56} (conf: 0.906, supp: 0.131, lift: 5.132, conv: 8.778)
{4, 20} -> {17} (conf: 0.929, supp: 0.104, lift: 2.998, conv: 9.670)
{4, 21} -> {18} (conf: 0.913, supp: 0.112, lift: 3.076, conv: 8.074)
{4, 23} -> {18} (conf: 0.938, supp: 0.118, lift: 3.160, conv: 11.290)
{4, 18} -> {23} (conf: 0.910, supp: 0.118, lift: 3.106, conv: 7.871)
{4, 24} -> {18} (conf: 0.938, supp: 0.118, lift: 3.162, conv: 11.425)
{4, 18} -> {24} (conf: 0.915, supp: 0.118, lift: 3.149, conv: 8.356)
{4, 27} -> {18} (conf: 0.926, supp: 0.112, lift: 3.121, conv: 9.540)
{4, 21} -> {24} (conf: 0.919, supp: 0.113, lift: 3.162, conv: 8.726)
{4, 27} -> {21} (conf: 0.924, supp: 0.112, lift: 3.235, conv: 9.377)
{4, 21} -> {27} (conf: 0.912, supp: 0.112, lift: 3.230, conv: 8.141)
{4, 24} -> {23} (conf: 0.901, supp: 0.114, lift: 3.075, conv: 7.146)
{4, 23} -> {24} (conf: 0.905, supp: 0.114, lift: 3.116, conv: 7.486)
{4, 27} -> {24} (conf: 0.935, supp: 0.113, lift: 3.218, conv: 10.930)
{4, 27} -> {25} (conf: 0.924, supp: 0.112, lift: 3.224, conv: 9.328)
{4, 25} -> {27} (conf: 0.903, supp: 0.112, lift: 3.200, conv: 7.430)
{7, 21} -> {18} (conf: 0.915, supp: 0.108, lift: 3.082, conv: 8.244)
{7, 23} -> {18} (conf: 0.939, supp: 0.113, lift: 3.163, conv: 11.442)
{7, 18} -> {23} (conf: 0.916, supp: 0.113, lift: 3.126, conv: 8.418)
{7, 24} -> {18} (conf: 0.937, supp: 0.113, lift: 3.156, conv: 11.107)
{7, 18} -> {24} (conf: 0.917, supp: 0.113, lift: 3.155, conv: 8.509)
{7, 25} -> {18} (conf: 0.903, supp: 0.107, lift: 3.044, conv: 7.282)
{7, 27} -> {18} (conf: 0.927, supp: 0.109, lift: 3.123, conv: 9.614)
{7, 21} -> {24} (conf: 0.918, supp: 0.108, lift: 3.161, conv: 8.688)
{7, 27} -> {21} (conf: 0.922, supp: 0.108, lift: 3.230, conv: 9.205)
