lhs,rhs,confidence
"(27,)","(21,)",0.9114117100987998
"(21,)","(27,)",0.900838904181413
"(27,)","(24,)",0.9156554605132285
"(27,)","(25,)",0.9092235262913599
"(2152,)","(1824,)",0.9628712871287128
"(8725,)","(3478,)",0.9096774193548387
"(5204,)","(4325,)",0.9519650655021834
"(13, 21)","(24,)",0.9198190789473685
"(13, 27)","(21,)",0.9149722735674677
"(13, 21)","(27,)",0.9159128289473685
"(13, 27)","(24,)",0.9326350379954816
"(13, 24)","(27,)",0.903681592039801
"(13, 27)","(25,)",0.9217498459642637
"(13, 25)","(27,)",0.9096068098905553
"(13, 5204)","(4325,)",0.9142857142857143
"(24, 25)","(21,)",0.9353566912147586
"(21, 25)","(24,)",0.9473366985609885
"(21, 24)","(25,)",0.9158048069919883
"(24, 26)","(21,)",0.9117512574302697
"(21, 26)","(24,)",0.9238610038610039
"(24, 27)","(21,)",0.9433702657687015
"(21, 27)","(24,)",0.9477628228446708
"(21, 24)","(27,)",0.9487982520029133
"(21, 28)","(24,)",0.9172081324669881
"(21, 29)","(24,)",0.9252823631624674
"(21, 105)","(24,)",0.9139525532770406
"(21, 117)","(24,)",0.908573236317621
"(21, 350)","(24,)",0.9071661237785016
"(21, 353)","(24,)",0.9119127516778524
"(21, 365)","(24,)",0.900355871886121
"(21, 400)","(24,)",0.9165275459098498
"(24, 447)","(21,)",0.9283429302623161
"(21, 447)","(24,)",0.9349226804123711
"(24, 449)","(21,)",0.9170506912442397
"(21, 449)","(24,)",0.9241486068111455
"(21, 456)","(24,)",0.9280575539568345
"(21, 629)","(24,)",0.9449760765550239
"(24, 647)","(21,)",0.9087591240875912
"(21, 647)","(24,)",0.9222222222222223
"(24, 667)","(21,)",0.9022556390977443
"(21, 676)","(24,)",0.919047619047619
"(21, 698)","(24,)",0.9021739130434783
"(24, 703)","(21,)",0.911275415896488
"(24, 880)","(21,)",0.9108635097493036
"(21, 890)","(24,)",0.9172413793103448
