"book_id","isbn","authors","original_publication_year","title","average_rating","small_image_url"
"2767052","439023483","Suzanne Collins","2008.0","The Hunger Games (The Hunger Games, #1)","4.34","https://images.gr-assets.com/books/1447303603s/2767052.jpg"
"3","439554934","J.K. Rowling, Mary GrandPré","1997.0","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","4.44","https://images.gr-assets.com/books/1474154022s/3.jpg"
"41865","316015849","Stephenie Meyer","2005.0","Twilight (Twilight, #1)","3.57","https://images.gr-assets.com/books/1361039443s/41865.jpg"
"2657","61120081","Harper Lee","1960.0","To Kill a Mockingbird","4.25","https://images.gr-assets.com/books/1361975680s/2657.jpg"
"4671","743273567","F. Scott Fitzgerald","1925.0","The Great Gatsby","3.89","https://images.gr-assets.com/books/1490528560s/4671.jpg"
"11870085","525478817","John Green","2012.0","The Fault in Our Stars","4.26","https://images.gr-assets.com/books/1360206420s/11870085.jpg"
"5907","618260307","J.R.R. Tolkien","1937.0","The Hobbit","4.25","https://images.gr-assets.com/books/1372847500s/5907.jpg"
"5107","316769177","J.D. Salinger","1951.0","The Catcher in the Rye","3.79","https://images.gr-assets.com/books/1398034300s/5107.jpg"
"960","1416524797","Dan Brown","2000.0","Angels & Demons  (Robert Langdon, #1)","3.85","https://images.gr-assets.com/books/1303390735s/960.jpg"
"1885","679783261","Jane Austen","1813.0","Pride and Prejudice","4.24","https://images.gr-assets.com/books/1320399351s/1885.jpg"
"77203","1594480001","Khaled Hosseini","2003.0","The Kite Runner","4.26","https://images.gr-assets.com/books/1484565687s/77203.jpg"
"13335037","62024035","Veronica Roth","2011.0","Divergent (Divergent, #1)","4.24","https://images.gr-assets.com/books/1328559506s/13335037.jpg"
"5470","451524934","George Orwell, Erich Fromm, Celâl Üster","1949.0","1984","4.14","https://images.gr-assets.com/books/1348990566s/5470.jpg"
"7613","452284244","George Orwell","1945.0","Animal Farm","3.87","https://images.gr-assets.com/books/1424037542s/7613.jpg"
"48855","553296981","Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday","1947.0","The Diary of a Young Girl","4.10","https://images.gr-assets.com/books/1358276407s/48855.jpg"
"2429135","307269752","Stieg Larsson, Reg Keeland","2005.0","The Girl with the Dragon Tattoo (Millennium, #1)","4.11","https://images.gr-assets.com/books/1327868566s/2429135.jpg"
"6148028","439023491","Suzanne Collins","2009.0","Catching Fire (The Hunger Games, #2)","4.30","https://images.gr-assets.com/books/1358273780s/6148028.jpg"
"5","043965548X","J.K. Rowling, Mary GrandPré, Rufus Beck","1999.0","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","4.53","https://images.gr-assets.com/books/1499277281s/5.jpg"
"34","618346252","J.R.R. Tolkien","1954.0","The Fellowship of the Ring (The Lord of the Rings, #1)","4.34","https://images.gr-assets.com/books/1298411339s/34.jpg"
"7260188","439023513","Suzanne Collins","2010.0","Mockingjay (The Hunger Games, #3)","4.03","https://images.gr-assets.com/books/1358275419s/7260188.jpg"
"2","439358078","J.K. Rowling, Mary GrandPré","2003.0","Harry Potter and the Order of the Phoenix (Harry Potter, #5)","4.46","https://images.gr-assets.com/books/1387141547s/2.jpg"
"12232938","316166685","Alice Sebold","2002.0","The Lovely Bones","3.77","https://images.gr-assets.com/books/1457810586s/12232938.jpg"
"15881","439064864","J.K. Rowling, Mary GrandPré","1998.0","Harry Potter and the Chamber of Secrets (Harry Potter, #2)","4.37","https://images.gr-assets.com/books/1474169725s/15881.jpg"
"6","439139600","J.K. Rowling, Mary GrandPré","2000.0","Harry Potter and the Goblet of Fire (Harry Potter, #4)","4.53","https://images.gr-assets.com/books/1361482611s/6.jpg"
"136251","545010225","J.K. Rowling, Mary GrandPré","2007.0","Harry Potter and the Deathly Hallows (Harry Potter, #7)","4.61","https://images.gr-assets.com/books/1474171184s/136251.jpg"
"968","307277674","Dan Brown","2003.0","The Da Vinci Code (Robert Langdon, #2)","3.79","https://images.gr-assets.com/books/1303252999s/968.jpg"
"1","439785960","J.K. Rowling, Mary GrandPré","2005.0","Harry Potter and the Half-Blood Prince (Harry Potter, #6)","4.54","https://images.gr-assets.com/books/1361039191s/1.jpg"
"7624","140283331","William Golding","1954.0","Lord of the Flies","3.64","https://images.gr-assets.com/books/1327869409s/7624.jpg"
"18135","743477111","William Shakespeare, Robert           Jackson","1595.0","Romeo and Juliet","3.73","https://images.gr-assets.com/books/1327872146s/18135.jpg"
"8442457","297859382","Gillian Flynn","2012.0","Gone Girl","4.03","https://images.gr-assets.com/books/1339602131s/8442457.jpg"
"4667024","399155341","Kathryn Stockett","2009.0","The Help","4.45","https://images.gr-assets.com/books/1346100365s/4667024.jpg"
"890","142000671","John Steinbeck","1937.0","Of Mice and Men","3.84","https://images.gr-assets.com/books/1437235233s/890.jpg"
"930","739326228","Arthur Golden","1997.0","Memoirs of a Geisha","4.08","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"10818853","1612130291","E.L. James","2011.0","Fifty Shades of Grey (Fifty Shades, #1)","3.67","https://images.gr-assets.com/books/1385207843s/10818853.jpg"
"865","61122416","Paulo Coelho, Alan R. Clarke","1988.0","The Alchemist","3.82","https://images.gr-assets.com/books/1483412266s/865.jpg"
"3636","385732554","Lois Lowry","1993.0","The Giver (The Giver, #1)","4.12","https://images.gr-assets.com/books/1342493368s/3636.jpg"
"100915","60764899","C.S. Lewis","1950.0","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","4.19","https://images.gr-assets.com/books/1353029077s/100915.jpg"
"14050","965818675","Audrey Niffenegger","2003.0","The Time Traveler's Wife","3.95","https://images.gr-assets.com/books/1437728815s/14050.jpg"
"13496","553588486","George R.R. Martin","1996.0","A Game of Thrones (A Song of Ice and Fire, #1)","4.45","https://images.gr-assets.com/books/1436732693s/13496.jpg"
"19501","143038419","Elizabeth Gilbert","2006.0","Eat, Pray, Love","3.51","https://images.gr-assets.com/books/1503066414s/19501.jpg"
"28187","786838655","Rick Riordan","2005.0","The Lightning Thief (Percy Jackson and the Olympians, #1)","4.23","https://images.gr-assets.com/books/1400602609s/28187.jpg"
"1934","451529308","Louisa May Alcott","1868.0","Little Women (Little Women, #1)","4.04","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"10210","142437204","Charlotte Brontë, Michael Mason","1847.0","Jane Eyre","4.10","https://images.gr-assets.com/books/1327867269s/10210.jpg"
"15931","553816713","Nicholas Sparks","1996.0","The Notebook (The Notebook, #1)","4.06","https://images.gr-assets.com/books/1385738917s/15931.jpg"
"4214","770430074","Yann Martel","2001.0","Life of Pi","3.88","https://images.gr-assets.com/books/1320562005s/4214.jpg"
"43641","1565125606","Sara Gruen","2006.0","Water for Elephants","4.07","https://images.gr-assets.com/books/1494428973s/43641.jpg"
"19063","375831002","Markus Zusak","2005.0","The Book Thief","4.36","https://images.gr-assets.com/books/1390053681s/19063.jpg"
"49041","316160199","Stephenie Meyer","2006.0","New Moon (Twilight, #2)","3.52","https://images.gr-assets.com/books/1361039440s/49041.jpg"
"30119","60513039","Shel Silverstein","1974.0","Where the Sidewalk Ends","4.29","https://images.gr-assets.com/books/1168052448s/30119.jpg"
"256683","1416914285","Cassandra Clare","2007.0","City of Bones (The Mortal Instruments, #1)","4.12","https://images.gr-assets.com/books/1432730315s/256683.jpg"
"428263","316160202","Stephenie Meyer","2007.0","Eclipse (Twilight, #3)","3.69","https://images.gr-assets.com/books/1361038355s/428263.jpg"
"113436","375826696","Christopher Paolini","2002.0","Eragon (The Inheritance Cycle, #1)","3.86","https://images.gr-assets.com/books/1366212852s/113436.jpg"
"11","345391802","Douglas Adams","1979.0","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","4.20","https://images.gr-assets.com/books/1327656754s/11.jpg"
"5129","60929871","Aldous Huxley","1932.0","Brave New World","3.97","https://images.gr-assets.com/books/1487389574s/5129.jpg"
"1162543","031606792X","Stephenie Meyer","2008.0","Breaking Dawn (Twilight, #4)","3.70","https://images.gr-assets.com/books/1361039438s/1162543.jpg"
"37435","142001740","Sue Monk Kidd","2001.0","The Secret Life of Bees","4.01","https://images.gr-assets.com/books/1473454532s/37435.jpg"
"2956","142437174","Mark Twain, John Seelye, Guy Cardwell","1884.0","The Adventures of Huckleberry Finn","3.80","https://images.gr-assets.com/books/1405973850s/2956.jpg"
"24178","64410935","E.B. White, Garth Williams, Rosemary Wells","1952.0","Charlotte's Web","4.15","https://images.gr-assets.com/books/1439632243s/24178.jpg"
"1618","1400032717","Mark Haddon","2003.0","The Curious Incident of the Dog in the Night-Time","3.85","https://images.gr-assets.com/books/1479863624s/1618.jpg"
"22557272","1594633665","Paula Hawkins","2015.0","The Girl on the Train","3.88","https://images.gr-assets.com/books/1490903702s/22557272.jpg"
"119322","679879242","Philip Pullman","1995.0","The Golden Compass (His Dark Materials, #1)","3.94","https://images.gr-assets.com/books/1451271747s/119322.jpg"
"6185","393978893","Emily Brontë, Richard J. Dunn","1847.0","Wuthering Heights","3.82","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"10917","743454537","Jodi Picoult","2004.0","My Sister's Keeper","4.06","https://images.gr-assets.com/books/1369504683s/10917.jpg"
"4981","385333846","Kurt Vonnegut Jr.","1969.0","Slaughterhouse-Five","4.06","https://images.gr-assets.com/books/1440319389s/4981.jpg"
"18405","446675539","Margaret Mitchell","1936.0","Gone with the Wind","4.28","https://images.gr-assets.com/books/1328025229s/18405.jpg"
